Date,Instagram Ad Campaign,Instagram Ad Views,Instagram Ad Clicks,Instagram Ad Conversions,Cost per Instagram Ad  ,Instagram Click-Through Rate (Clicks / View),Instagram Conversion Rate (Conversions / Clicks),Instagram Cost per Click (Ad Cost / Clicks)  ,AdWords Ad Campaign,AdWords Ad Views,AdWords Ad Clicks,AdWords Ad Conversions,Cost per AdWords Ad  ,AdWords Click-Through Rate (Clicks / View),AdWords Conversion Rate (Conversions / Click),AdWords Cost per Click (Ad Cost / Clicks)  
1/1/2024,IG_Jan24,2116,18,8,€ 126.00,0.83%,42.73%,€ 7.14,AW_Jan24,4984,59,5,€ 194.00,1.18%,8.40%,€ 3.30
1/2/2024,IG_Jan24,3106,36,12,€ 104.00,1.15%,34.04%,€ 2.91,AW_Jan24,4022,71,6,€ 75.00,1.77%,7.80%,€ 1.05
1/3/2024,IG_Jan24,3105,26,8,€ 102.00,0.84%,31.45%,€ 3.89,AW_Jan24,3863,44,4,€ 141.00,1.13%,9.59%,€ 3.23
1/4/2024,IG_Jan24,1107,27,9,€ 71.00,2.45%,34.76%,€ 2.62,AW_Jan24,3911,49,5,€ 141.00,1.26%,11.08%,€ 2.86
1/5/2024,IG_Jan24,1317,15,7,€ 78.00,1.10%,47.59%,€ 5.38,AW_Jan24,4070,55,7,€ 133.00,1.36%,12.22%,€ 2.40
1/6/2024,IG_Jan24,1958,37,10,€ 113.00,1.86%,28.22%,€ 3.08,AW_Jan24,4052,51,4,€ 135.00,1.25%,6.97%,€ 2.65
1/7/2024,IG_Jan24,2941,49,15,€ 37.00,1.66%,30.22%,€ 0.76,AW_Jan24,3845,66,7,€ 90.00,1.72%,11.07%,€ 1.37
1/8/2024,IG_Jan24,2805,49,12,€ 105.00,1.74%,24.09%,€ 2.14,AW_Jan24,5147,69,4,€ 153.00,1.34%,6.45%,€ 2.22
1/9/2024,IG_Jan24,2520,36,12,€ 96.00,1.44%,33.74%,€ 2.63,AW_Jan24,3861,82,9,€ 140.00,2.12%,11.12%,€ 1.71
1/10/2024,IG_Jan24,1896,41,13,€ 62.00,2.15%,32.29%,€ 1.53,AW_Jan24,4938,48,5,€ 147.00,0.98%,11.19%,€ 3.03
1/11/2024,IG_Jan24,1828,51,14,€ 41.00,2.78%,27.86%,€ 0.80,AW_Jan24,4351,58,7,€ 84.00,1.33%,11.91%,€ 1.46
